"cm_id","X_Easting","Y_Northing","timestamp","group"
"60",1430098.62081517,5083118.31029257,2020-02-07 06:42:30,81
"60",1430050.76089322,5083089.05282641,2020-02-07 06:47:10,82
"68",1430106.10530677,5083112.50304279,2020-02-07 06:42:04,81
"68",1430106.10530677,5083112.50304279,2020-02-07 06:47:13,82
"68",1430106.10530677,5083112.50304279,2020-02-07 06:52:21,83
"70",1430058.55045085,5083209.18936243,2020-02-07 00:02:05,1
"70",1430058.55045085,5083209.18936243,2020-02-07 00:07:14,2
"70",1430058.55045085,5083209.18936243,2020-02-07 00:12:22,3
"70",1430056.479165,5083196.90861543,2020-02-07 00:17:02,4
"70",1430056.479165,5083196.90861543,2020-02-07 00:22:10,5
"70",1430056.479165,5083196.90861543,2020-02-07 00:27:19,6
"70",1430056.479165,5083196.90861543,2020-02-07 00:32:27,7
"70",1430056.479165,5083196.90861543,2020-02-07 00:37:08,8
"70",1430056.479165,5083196.90861543,2020-02-07 00:42:17,9
"70",1430051.36834448,5083206.44570263,2020-02-07 01:17:27,16
"70",1430051.36834448,5083206.44570263,2020-02-07 01:22:11,17
"70",1430051.36834448,5083206.44570263,2020-02-07 01:27:19,18
"70",1430047.61444552,5083209.79360713,2020-02-07 01:32:28,19
"70",1430047.61444552,5083209.79360713,2020-02-07 01:37:08,20
"70",1430047.61444552,5083209.79360713,2020-02-07 01:42:15,21
"70",1430047.61444552,5083209.79360713,2020-02-07 01:47:25,22
"70",1430047.61444552,5083209.79360713,2020-02-07 01:52:04,23
"70",1430037.12133814,5083193.40304225,2020-02-07 02:37:26,32
"70",1430037.12133814,5083193.40304225,2020-02-07 02:42:10,33
"70",1430037.12133814,5083193.40304225,2020-02-07 02:47:19,34
"70",1430037.12133814,5083193.40304225,2020-02-07 02:52:27,35
"70",1430037.12133814,5083193.40304225,2020-02-07 02:57:07,36
"70",1430037.12133814,5083193.40304225,2020-02-07 03:02:14,37
"70",1430037.12133814,5083193.40304225,2020-02-07 03:07:23,38
"70",1430050.33849679,5083200.08317377,2020-02-07 03:12:30,39
"70",1430050.33849679,5083200.08317377,2020-02-07 03:17:13,40
"70",1430050.33849679,5083200.08317377,2020-02-07 03:22:20,41
"70",1430050.33849679,5083200.08317377,2020-02-07 03:32:08,43
"70",1430048.06600185,5083192.46558463,2020-02-07 03:37:17,44
"70",1430048.06600185,5083192.46558463,2020-02-07 03:42:25,45
"70",1430048.06600185,5083192.46558463,2020-02-07 03:47:06,46
"70",1430048.06600185,5083192.46558463,2020-02-07 03:52:16,47
"70",1430048.06600185,5083192.46558463,2020-02-07 03:57:28,48
"70",1430048.06600185,5083192.46558463,2020-02-07 04:02:10,49
"70",1430056.21577039,5083207.01662853,2020-02-07 04:07:24,50
"70",1430056.21577039,5083207.01662853,2020-02-07 04:12:09,51
"70",1430056.21577039,5083207.01662853,2020-02-07 04:17:23,52
"70",1430056.21577039,5083207.01662853,2020-02-07 04:22:05,53
"70",1430056.21577039,5083207.01662853,2020-02-07 04:32:20,55
"70",1430050.28350035,5083202.19363805,2020-02-07 04:37:29,56
"70",1430055.04119459,5083206.20795392,2020-02-07 04:57:04,60
"70",1430055.04119459,5083206.20795392,2020-02-07 05:02:13,61
"70",1430055.04119459,5083206.20795392,2020-02-07 05:07:22,62
"70",1430055.04119459,5083206.20795392,2020-02-07 05:12:04,63
"70",1430055.04119459,5083206.20795392,2020-02-07 05:17:17,64
"70",1430055.04119459,5083206.20795392,2020-02-07 05:22:04,65
"70",1430040.59584277,5083197.71738568,2020-02-07 05:27:19,66
"70",1430051.13388797,5083215.44294496,2020-02-07 05:32:30,67
"70",1430051.13388797,5083215.44294496,2020-02-07 05:37:13,68
"70",1430041.45060343,5083213.85677404,2020-02-07 05:42:23,69
"70",1430041.45060343,5083213.85677404,2020-02-07 05:47:06,70
"70",1430044.08343083,5083204.58857547,2020-02-07 06:07:19,74
"70",1430044.08343083,5083204.58857547,2020-02-07 06:12:28,75
"70",1430062.99898697,5083179.18295537,2020-02-07 06:16:42,76
"70",1430047.99074238,5083195.35358841,2020-02-07 06:22:17,77
"70",1430055.48404829,5083189.21316255,2020-02-07 06:27:27,78
"70",1430055.48404829,5083189.21316255,2020-02-07 06:32:09,79
"70",1430055.48404829,5083189.21316255,2020-02-07 06:37:17,80
"71",1430035.46835549,5083162.0149546,2020-02-07 00:02:07,1
"71",1430035.46835549,5083162.0149546,2020-02-07 00:07:24,2
"71",1430035.46835549,5083162.0149546,2020-02-07 00:12:15,3
"71",1430035.46835549,5083162.0149546,2020-02-07 00:17:04,4
"71",1430035.46835549,5083162.0149546,2020-02-07 00:22:22,5
"71",1430035.46835549,5083162.0149546,2020-02-07 00:27:11,6
"71",1430035.46835549,5083162.0149546,2020-02-07 00:32:30,7
"71",1430035.46835549,5083162.0149546,2020-02-07 00:37:19,8
"71",1430035.46835549,5083162.0149546,2020-02-07 00:42:09,9
"71",1430035.46835549,5083162.0149546,2020-02-07 00:47:28,10
"71",1430035.46835549,5083162.0149546,2020-02-07 00:52:17,11
"71",1430035.46835549,5083162.0149546,2020-02-07 00:57:08,12
"71",1430035.46835549,5083162.0149546,2020-02-07 01:02:27,13
"71",1430035.46835549,5083162.0149546,2020-02-07 01:07:16,14
"71",1430035.46835549,5083162.0149546,2020-02-07 01:12:06,15
"71",1430035.46835549,5083162.0149546,2020-02-07 01:17:24,16
"71",1430035.46835549,5083162.0149546,2020-02-07 01:22:15,17
"71",1430035.46835549,5083162.0149546,2020-02-07 01:27:05,18
